container1.status.init.version 0.95
container1.status.init.container 1
container1.sensor.external.status OK
container1.sensor.inlet.status OK
container1.sensor.outlet.status OK
container1.status.code starting
container1.sensor.external.temp: 9.5C
container1.sensor.external.hum:  83.7%
container1.sensor.external.dewpt: -1.5C
container1.sensor.inlet.temp: 5.1C
container1.sensor.inlet.hum:  91.5%
container1.sensor.inlet.dewpt: -0.9C
container1.sensor.outlet.temp: 7.1C
container1.sensor.outlet.hum:  73.6%
container1.sensor.outlet.dewpt: -2.8C
container1.status.fan.min.temp.intern: 5.1C
container1.status.fan.humid.extern: 83.7%
container1.status.fan.dewpt: -1.8C
container1.status.fan.status off
